Designation,Comments
Allopurinol,
Amiodaron,
Amitriptylin,
Amlodipin,
ASA (Acetylsalicylsäure),
Atenolol,
Atorvastatin,
Betametason,
Clopidogrel,
Diazepam,
Digoxin,
Enalapril,
Escitalopram,
Esomeprazol,
Ezetimib,
Fluoxetin,
Furosemid,
Gabapentin,
Hydrochlorothiazid,
Hydrocortison,
Ibuprofen,
Insulin (kombiniert),
Insulin (langwirkend),
Insulin (normal),
Insulin (NPH),
Insulin (rapid),
ISMN (Isosorbidmononitrat),
Levothyroxin,
Lisonopril,
Losartan,
Metformin,
Methylprednison,
Metoprolol,
Morfin,
Naproxen,
Omeprazol,
Oxazepam,
Pantoprazol,
Paracetamol,
Prednison,
Pregabalin,
Quetiapin,
Sertralin,
Simvastatin,
Topiramat,
Verapamil,
