Designation,Comments
Allopurinol,
Amiodaron,
Amitriptyline,
Amlodipin,
ASA (Acetylsalicylsäure),
Atenolol,
Atorvastatin,
Betametasone,
Clopidogrel,
Diazepam,
Digoxin,
Enalapril,
Escitalopram,
Esomeprazole,
Ezetimib,
Fluoxetine,
Furosemide,
Gabapentin,
Hydrochlorothiazide,
Hydrocortison,
Ibuprophen,
Insulin (combination),
Insulin (long-acting),
Insulin (normal),
Insulin (NPH),
Insulin (rapid),
ISMN (Isosorbidmononitrat),
Levothyroxine,
Lisonopril,
Losartan,
Metformin,
Methylprednisone,
Metoprolol,
Morphine,
Naproxen,
Omeprazole,
Oxazepam,
Pantoprazole,
Paracetamol,
Prednisone,
Pregabalin,
Quetiapine,
Sertraline,
Simvastatin,
Topiramate,
Verapamil,
